Timestamp,xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMagnet,yMagnet,zMagnet,Tag,Angle,LatDeg,LatMin,LatSec,LonDeg,LonMin,LonSec,N/S,E/W,Speed(Km/h),Altitude,Time
0,9,-2504,175,-1700,-1830,-1772,-97,459,416,,194.672,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
33,-452,-5247,1043,269,-1930,363,-97,459,416,,194.502,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
66,-1299,-1913,706,-2646,-3553,-1262,-97,459,416,,194.645,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
100,-843,-4845,759,1172,-2186,-725,-99,440,423,,194.101,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
133,14,-2496,-40,-2679,-3603,-1095,-99,440,423,,194.271,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
166,1060,-5304,-125,861,-2029,-1056,-99,440,423,,194.073,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
200,1081,-2367,1074,-2134,-2587,-702,-99,440,423,,193.821,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
233,133,-5081,744,1166,-1331,158,-116,447,428,,194.106,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
266,-914,-2973,642,-723,-1708,-1423,-116,447,428,,194.288,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
300,-639,-4809,1290,-781,-2712,-1882,-116,447,428,,194.359,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
333,-1773,-3412,2631,321,-859,-383,-116,447,428,,194.458,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
367,-1304,-3769,1517,-1234,-2675,-1037,-107,446,422,,194.315,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
400,-3556,-3903,1039,1166,-1630,-709,-107,446,422,,194.288,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
433,-7,-4171,1164,-1998,-2523,-677,-107,446,422,,194.041,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
467,-1198,-3214,1976,1600,-1384,-4148,-72,453,420,,194.183,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
500,648,-4300,445,-1815,332,834,-72,453,420,,193.903,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
533,-1982,-4441,-87,2539,-138,-132,-72,453,420,,194.227,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
567,-2021,-3876,1269,-2095,-1643,-2391,-72,453,420,,194.601,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
600,-2358,-4790,1584,-1327,-315,1905,-97,423,428,,194.139,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
633,-1561,-3462,707,-2581,-3084,-1710,-97,423,428,,194.436,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
667,-2297,-4074,45,2855,509,-1740,-97,423,428,,194.244,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
700,-1306,-3572,462,-1806,-2354,-515,-97,423,428,,194.156,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
734,-553,-4673,-1217,2333,1122,-765,-118,435,419,,193.925,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
767,838,-3891,-103,-2169,-3106,-651,-118,435,419,,193.782,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
800,-646,-5091,69,2309,961,762,-118,435,419,,193.689,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
834,279,-3333,2407,-2222,-1379,-623,-86,448,436,,193.59,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
867,-496,-5343,1197,1773,1092,3588,-86,448,436,,193.887,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
900,545,-2527,2376,-1185,1824,-747,-86,448,436,,193.359,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
934,-1700,-4533,39,1668,3584,5073,-86,448,436,,193.074,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
967,-2415,-3126,-34,-1103,1117,-1101,-79,431,450,,193.26,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
1001,-3005,-4124,1158,-868,-688,491,-79,431,450,,193.217,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
1034,-1978,-2647,2344,-640,479,-258,-79,431,450,,193.052,37,46,35.742,77,29,2.946,N,W,0.63,74.1,1507297339
